,Weight
5-Aug-20,282.5
6-Aug-20,280.5
7-Aug-20,
8-Aug-20,
9-Aug-20,
10-Aug-20,
11-Aug-20,273.2
12-Aug-20,270.2
13-Aug-20,268.3
14-Aug-20,267.9
15-Aug-20,264.4
16-Aug-20,263.5
17-Aug-20,262.3
18-Aug-20,
19-Aug-20,
20-Aug-20,
21-Aug-20,
22-Aug-20,261.2
23-Aug-20,259.4
24-Aug-20,257.7
25-Aug-20,256.8
26-Aug-20,255.5
27-Aug-20,
28-Aug-20,254.5
29-Aug-20,
30-Aug-20,
31-Aug-20,253.0
1-Sep-20,251.8
2-Sep-20,250.5
3-Sep-20,
4-Sep-20,249.7
5-Sep-20,249.8
6-Sep-20,
7-Sep-20,249.5
8-Sep-20,
9-Sep-20,249.1
10-Sep-20,
11-Sep-20,
12-Sep-20,248.5
13-Sep-20,246.6
14-Sep-20,
15-Sep-20,246.4
16-Sep-20,245.5
17-Sep-20,
18-Sep-20,242.8
19-Sep-20,
20-Sep-20,240.7
21-Sep-20,
22-Sep-20,
23-Sep-20,
24-Sep-20,
25-Sep-20,
26-Sep-20,239.6
27-Sep-20,238.4
28-Sep-20,
29-Sep-20,237.0
30-Sep-20,236.6
1-Oct-20,
2-Oct-20,236.2
3-Oct-20,234.8
4-Oct-20,232.8
5-Oct-20,
6-Oct-20,
7-Oct-20,232.4
8-Oct-20,231.5
9-Oct-20,230.3
10-Oct-20,
11-Oct-20,
12-Oct-20,
13-Oct-20,229.4
14-Oct-20,
15-Oct-20,228.6
16-Oct-20,
17-Oct-20,228.0
18-Oct-20,
19-Oct-20,
20-Oct-20,
21-Oct-20,
22-Oct-20,227.4
23-Oct-20,
24-Oct-20,
25-Oct-20,
26-Oct-20,
27-Oct-20,226.3
28-Oct-20,
29-Oct-20,225.8
30-Oct-20,
31-Oct-20,
1-Nov-20,
2-Nov-20,224.1
3-Nov-20,
4-Nov-20,
5-Nov-20,
6-Nov-20,223.3
7-Nov-20,
8-Nov-20,
9-Nov-20,
10-Nov-20,
11-Nov-20,223.2
12-Nov-20,222.9
13-Nov-20,
14-Nov-20,
15-Nov-20,
16-Nov-20,222.4
17-Nov-20,222.4
18-Nov-20,
19-Nov-20,
20-Nov-20,221.0
21-Nov-20,220.5
22-Nov-20,
23-Nov-20,
24-Nov-20,219.9
25-Nov-20,219.8
26-Nov-20,218.1
27-Nov-20,
28-Nov-20,
29-Nov-20,
30-Nov-20,
1-Dec-20,
2-Dec-20,
3-Dec-20,
4-Dec-20,217.8
5-Dec-20,216.7
6-Dec-20,
7-Dec-20,
8-Dec-20,
9-Dec-20,
10-Dec-20,
11-Dec-20,215.3
12-Dec-20,214.9
13-Dec-20,
14-Dec-20,
15-Dec-20,213.8
16-Dec-20,212.2
17-Dec-20,
18-Dec-20,
19-Dec-20,
20-Dec-20,
21-Dec-20,
22-Dec-20,
23-Dec-20,
24-Dec-20,
25-Dec-20,
26-Dec-20,
27-Dec-20,
28-Dec-20,
29-Dec-20,
30-Dec-20,
31-Dec-20,
1-Jan-21,
2-Jan-21,
3-Jan-21,
4-Jan-21,
5-Jan-21,
6-Jan-21,
7-Jan-21,211.0
8-Jan-21,
9-Jan-21,
10-Jan-21,
11-Jan-21,
12-Jan-21,
13-Jan-21,209.9
14-Jan-21,209.7
15-Jan-21,209.1
16-Jan-21,
17-Jan-21,
18-Jan-21,
19-Jan-21,
20-Jan-21,
21-Jan-21,208.7
22-Jan-21,
23-Jan-21,
24-Jan-21,
25-Jan-21,207.3
26-Jan-21,
27-Jan-21,
28-Jan-21,206.4
29-Jan-21,
30-Jan-21,
31-Jan-21,
1-Feb-21,
2-Feb-21,
3-Feb-21,205.7
4-Feb-21,
5-Feb-21,204.6
6-Feb-21,
7-Feb-21,
8-Feb-21,
9-Feb-21,
10-Feb-21,
11-Feb-21,203.0
12-Feb-21,202.6
13-Feb-21,
14-Feb-21,
15-Feb-21,
16-Feb-21,202.4
17-Feb-21,
18-Feb-21,202.0
19-Feb-21,
20-Feb-21,
21-Feb-21,
22-Feb-21,
23-Feb-21,
24-Feb-21,
25-Feb-21,201.8
26-Feb-21,
27-Feb-21,
28-Feb-21,
1-Mar-21,201.1
2-Mar-21,199.5
3-Mar-21,199.2
4-Mar-21,198.9
5-Mar-21,
6-Mar-21,
7-Mar-21,
8-Mar-21,196.5
9-Mar-21,
10-Mar-21,
11-Mar-21,
12-Mar-21,
13-Mar-21,
14-Mar-21,
15-Mar-21,
16-Mar-21,
17-Mar-21,
18-Mar-21,
19-Mar-21,
20-Mar-21,
21-Mar-21,
22-Mar-21,
23-Mar-21,
24-Mar-21,194.4
25-Mar-21,194.3
26-Mar-21,
27-Mar-21,193.8
28-Mar-21,
29-Mar-21,192.7
30-Mar-21,
31-Mar-21,
1-Apr-21,192.2
2-Apr-21,
3-Apr-21,
4-Apr-21,
5-Apr-21,
6-Apr-21,
7-Apr-21,
8-Apr-21,
9-Apr-21,
10-Apr-21,
11-Apr-21,
12-Apr-21,
13-Apr-21,
14-Apr-21,
15-Apr-21,
16-Apr-21,
17-Apr-21,
18-Apr-21,
19-Apr-21,
20-Apr-21,
21-Apr-21,
22-Apr-21,
23-Apr-21,
24-Apr-21,
25-Apr-21,
26-Apr-21,
27-Apr-21,
28-Apr-21,
29-Apr-21,
30-Apr-21,
1-May-21,
2-May-21,
3-May-21,
4-May-21,
5-May-21,
6-May-21,
7-May-21,
8-May-21,
9-May-21,
10-May-21,191.2
11-May-21,190.2
12-May-21,
13-May-21,
14-May-21,
15-May-21,
16-May-21,
17-May-21,
18-May-21,
19-May-21,
20-May-21,
21-May-21,
22-May-21,
23-May-21,
24-May-21,
25-May-21,
26-May-21,
27-May-21,
28-May-21,
29-May-21,
30-May-21,
31-May-21,
1-Jun-21,189.8
2-Jun-21,
3-Jun-21,
4-Jun-21,
5-Jun-21,
6-Jun-21,
7-Jun-21,
8-Jun-21,
9-Jun-21,
10-Jun-21,
11-Jun-21,189.4
12-Jun-21,
13-Jun-21,
14-Jun-21,
15-Jun-21,
16-Jun-21,
17-Jun-21,
18-Jun-21,
19-Jun-21,
20-Jun-21,
21-Jun-21,
22-Jun-21,
23-Jun-21,189.2
24-Jun-21,188.4
25-Jun-21,
26-Jun-21,
27-Jun-21,
28-Jun-21,
29-Jun-21,
30-Jun-21,
1-Jul-21,
2-Jul-21,
3-Jul-21,
4-Jul-21,
5-Jul-21,
6-Jul-21,
7-Jul-21,187.5
8-Jul-21,
9-Jul-21,
10-Jul-21,
11-Jul-21,
12-Jul-21,
13-Jul-21,
14-Jul-21,
15-Jul-21,186.6
16-Jul-21,
17-Jul-21,
18-Jul-21,
19-Jul-21,
20-Jul-21,
21-Jul-21,
22-Jul-21,
23-Jul-21,
24-Jul-21,
25-Jul-21,
26-Jul-21,
27-Jul-21,
28-Jul-21,
29-Jul-21,
30-Jul-21,
31-Jul-21,
1-Aug-21,
2-Aug-21,
3-Aug-21,
4-Aug-21,
5-Aug-21,
6-Aug-21,
7-Aug-21,
8-Aug-21,
9-Aug-21,
10-Aug-21,
11-Aug-21,
12-Aug-21,
13-Aug-21,
14-Aug-21,
15-Aug-21,
16-Aug-21,
17-Aug-21,
18-Aug-21,
19-Aug-21,
20-Aug-21,
21-Aug-21,
22-Aug-21,
23-Aug-21,
24-Aug-21,
25-Aug-21,185.8
26-Aug-21,
27-Aug-21,
28-Aug-21,
29-Aug-21,
30-Aug-21,
31-Aug-21,
1-Sep-21,
2-Sep-21,
3-Sep-21,
4-Sep-21,
5-Sep-21,
6-Sep-21,
7-Sep-21,
8-Sep-21,
9-Sep-21,
10-Sep-21,
11-Sep-21,
12-Sep-21,
13-Sep-21,
14-Sep-21,
15-Sep-21,
16-Sep-21,185.1
17-Sep-21,
18-Sep-21,
19-Sep-21,
20-Sep-21,
21-Sep-21,
22-Sep-21,
23-Sep-21,
24-Sep-21,
25-Sep-21,
26-Sep-21,
27-Sep-21,
28-Sep-21,
29-Sep-21,
30-Sep-21,
1-Oct-21,
2-Oct-21,
3-Oct-21,
4-Oct-21,
5-Oct-21,
6-Oct-21,
7-Oct-21,
8-Oct-21,
9-Oct-21,
10-Oct-21,
11-Oct-21,
12-Oct-21,
13-Oct-21,
14-Oct-21,184.9
15-Oct-21,
16-Oct-21,
17-Oct-21,
18-Oct-21,
19-Oct-21,
20-Oct-21,
21-Oct-21,
22-Oct-21,184.5
23-Oct-21,
24-Oct-21,
25-Oct-21,
26-Oct-21,
27-Oct-21,183.1
28-Oct-21,
29-Oct-21,182.3
30-Oct-21,
31-Oct-21,
1-Nov-21,
2-Nov-21,
3-Nov-21,
4-Nov-21,
5-Nov-21,
6-Nov-21,
7-Nov-21,
8-Nov-21,
9-Nov-21,
10-Nov-21,
11-Nov-21,181.5
12-Nov-21,
13-Nov-21,
14-Nov-21,
15-Nov-21,
16-Nov-21,
17-Nov-21,
18-Nov-21,
19-Nov-21,
20-Nov-21,
21-Nov-21,
22-Nov-21,
23-Nov-21,
24-Nov-21,
25-Nov-21,
26-Nov-21,
27-Nov-21,
28-Nov-21,
29-Nov-21,
30-Nov-21,
1-Dec-21,
2-Dec-21,
3-Dec-21,
4-Dec-21,
5-Dec-21,
6-Dec-21,
7-Dec-21,
8-Dec-21,
9-Dec-21,
10-Dec-21,
11-Dec-21,180.9
12-Dec-21,
13-Dec-21,
14-Dec-21,
15-Dec-21,180.6
16-Dec-21,180.1
